Go.,Va.
They're old.,Ils sont vieux.
They're old.,Elles sont vieilles.
Think again.,Repenses-y.
This is bad.,Ça pue.
This is bad.,C'est pas bon.
This is bad.,Ce n'est pas bon.
This is big.,C'est gros.
This is big.,C'est grand.
This is his.,C'est le sien.
This is his.,C'est la sienne.
This is new.,C'est nouveau.
This is new.,C'est neuf.
This is odd.,C'est bizarre.
This stinks.,Ça pue.
Tom blinked.,Tom a cligné des yeux.
Tom blushed.,Tom a rougi.
Tom changed.,Tom a changé.
Tom drowned.,Tom se noya.
Tom drowned.,Tom s'est noyé.
Tom inhaled.,Tom inspira.
Tom is bald.,Tom est chauve.
Tom is hurt.,Tom est blessé.
Tom is nuts.,Tom est malade mental.
Tom is rude.,Tom est impoli.
Tom is safe.,Tom est en sécurité.
Tom is sexy.,Tom est sexy.
Tom is slow.,Tom est lent.
Tom is tall.,Tom est grand.
Tom is weak.,Tom est faible.
Tom is wise.,Tom est raisonnable.
Tom laughed.,Tom rit.
Tom left me.,Tom m'a quittée.
Tom listens.,Tom écoute.
Tom refused.,Tom a refusé.
Tom said hi.,Tom a dit bonjour.
Tom said no.,Tom a dit non.
Tom sweated.,Tom a transpiré.
Tom took it.,Tom l'a pris.
Tom'll call.,Tom appellera.
Tom'll come.,Tom va venir.
Tom'll come.,Tom viendra.
Tom'll quit.,Tom va arrêter.
Tom's alive.,Tom est vivant.
Tom's alive.,Tom est en vie.
Tom's alone.,Tom est tout seul.
Tom's alone.,Tom est seul.
Tom's angry.,Tom est en colère.
Tom's awake.,Tom est réveillé.
Tom's bored.,Tom s'ennuie.
Tom's crazy.,Tom est dérangé.
Tom's drunk.,Tom est saoul.
Tom's drunk.,Tom est ivre.
Tom's dying.,Thomas est mourant.
Tom's funny.,Tom est drôle.
Tom's funny.,Tom est rigolo.
Tom's funny.,Tom est marrant.
Tom's lying.,Tom ment.
Tom's sorry.,Tom est désolé.
Tom's wrong.,Tom a tort.
Try to rest.,Essayez de vous reposer.
Turn around.,Faites demi-tour.
Turn around.,Fais demi-tour.
Turn it off.,Éteins-le!
Turn it off.,Éteignez-le!
Wait for us.,Attends-nous!
Wait for us.,Attendez-nous!
Wake Tom up.,Réveille Tom!
Walk slowly.,Marche lentement.
Walk slowly.,Marchez lentement.
War is evil.,La guerre est mauvaise.
War is hell.,La guerre, c'est l'enfer.
Was I wrong?,Avais-je tort?
Was I wrong?,Ai-je eu tort?
Was it good?,Était-ce bon?
Was it good?,C'était bon?
We all know.,Nous le savons tous.
We all know.,Nous le savons toutes.
We all quit.,Nous démissionnons tous.
We all quit.,Nous démissionnons toutes.
We all quit.,Nous arrêtons toutes.
We all quit.,Nous arrêtons tous.
We all work.,Nous travaillons tous.
We all work.,Nous travaillons toutes.
We are here.,Nous sommes ici.
We are here.,Nous y sommes.
We broke up.,Nous nous sommes séparés.
We broke up.,Nous nous sommes séparées.
We broke up.,Nous nous séparâmes.
We broke up.,Nous éclatâmes de rire.
We broke up.,Nous avons éclaté de rire.
We broke up.,Nous avons rompu.
We can meet.,Nous pouvons nous rencontrer.
We can talk.,Nous pouvons discuter.
We can wait.,Nous pouvons attendre.
We can't go.,Nous ne pouvons y aller.
We can't go.,Nous ne pouvons nous y rendre.
We can't go.,Nous ne pouvons pas y aller.
We can't go.,Nous ne pouvons pas nous y rendre.
We can't go.,Nous ne pouvons pas partir.
We did fine.,Nous nous en sommes bien tirés.
We did fine.,Nous nous en sommes bien tirées.
We did that.,Nous avons fait cela.
We did that.,On a fait ça.
We found it.,Nous l'avons trouvé.
We know him.,Nous le connaissons.
We know him.,On le connaît.
We like Tom.,Nous aimons bien Tom.
We like Tom.,Nous aimons Tom.
We like Tom.,Nous apprécions Tom.
We like him.,Nous l'apprécions.
We like him.,Nous l'aimons bien.
We miss you.,Tu nous manques.
We must act.,Il nous faut agir.
We must run.,Il nous faut courir.
We must try.,Il nous faut essayer.
We need Tom.,Nous avons besoin de Tom.
We need you.,On a besoin de toi.
We need you.,Nous avons besoin de vous.
We promised.,Nous promîmes.
We promised.,Nous avons promis.
We remember.,Nous nous souvenons.
We remember.,Nous nous en souvenons.
We survived!,Nous avons survécu!
We survived.,Nous survécûmes.
We survived.,Nous avons survécu.
We want Tom.,Nous voulons Tom.
We want one.,Nous en voulons un.
We want one.,Nous en voulons une.
We'll check.,Nous vérifierons.
We'll dance.,Nous danserons.
We'll drive.,Nous conduirons.
We'll fight.,Nous combattrons.
We'll hurry.,Nous nous dépêcherons.
We'll share.,Nous partagerons.
We'll shoot.,Nous tirerons.
We'll start.,Nous commencerons.
We're alone.,Nous sommes seuls.
We're alone.,Nous sommes seules.
We're angry.,Nous sommes en colère.
We're armed.,Nous sommes armés.
We're armed.,Nous sommes armées.
We're bored.,Nous nous ennuyons.
We're broke.,Nous sommes fauchés.
We're broke.,Nous sommes fauchées.
We're broke.,On est fauchés.
We're dying.,Nous sommes en train de mourir.
We're early.,Nous sommes en avance.
We're going.,Nous irons.
We're happy.,Nous sommes heureux.
We're ready.,Nous sommes prêtes.
We're saved.,Nous sommes sauvés.
We're saved.,Nous sommes sauvées.
We're smart.,Nous sommes intelligents.
